yearmo,SENT,SENT_ORTH
201312,-0.034316763281822205,-0.017276018857955933
201401,-0.26972585916519165,-0.24407647550106049
201402,-0.23064066469669342,-0.2075984925031662
201403,-0.21387694776058197,-0.16810980439186096
201404,-0.2280372828245163,-0.16254885494709015
201405,-0.17635443806648254,-0.1372070461511612
201406,-0.1359034925699234,-0.08900640904903412
201407,0.004587153904139996,0.017709562554955482
201408,-0.036912281066179276,-0.012760324403643608
201409,0.018953191116452217,0.07304657250642776
201410,-0.07706321775913239,-0.061578068882226944
201411,-0.01875249296426773,-0.03207196667790413
201412,0.03842715919017792,0.04871290549635887
201501,0.14942248165607452,0.18947270512580872
201502,0.19429518282413483,0.20743685960769653
201503,0.14107288420200348,0.17978282272815704
201504,-0.06258153915405273,-0.007941745221614838
201505,-0.027045825496315956,0.06809037178754807
201506,0.023648569360375404,0.13198184967041016
201507,-0.15947124361991882,-0.060717448592185974
201508,-0.17386303842067719,-0.10051929205656052
201509,-0.2772962749004364,-0.1717684417963028
201510,-0.32373401522636414,-0.19389496743679047
201511,-0.3934978246688843,-0.21873821318149567
201512,-0.368490993976593,-0.1922793835401535
201601,-0.4567696452140808,-0.32812342047691345
201602,-0.42600932717323303,-0.3695276081562042
201603,-0.389722615480423,-0.32577425241470337
201604,-0.37412890791893005,-0.3375660479068756
201605,-0.3336890935897827,-0.3263644576072693
201606,-0.280428022146225,-0.2853601574897766
