yyyymm,PLS_SENT,PLS_SENT_ORTH
199903,-0.527094928960659,-0.2123134617658227
199904,-0.5007684893207208,-0.2859486980222765
199905,-0.5406067846686644,-0.373316551448707
199906,-0.6025967174126087,-0.4985848737419059
199907,-0.5857874478657453,-0.5819658600991658
199908,-0.5676230953101435,-0.3261154211938808
199909,-0.5562116504941494,-0.2984359759095892
199910,-0.5562979146990723,-0.4448271322084354
199911,-0.2478462938558893,-0.2141878728063448
199912,-0.02135326802642269,-0.01049999821599306
200001,0.2229210073732897,-0.03574346710170221
200002,0.5705707504084451,0.2217755547751765
200003,0.9057274542014343,0.6968432289143938
200004,1.292308794611868,0.9829603649767553
200005,1.594878768776078,1.271713332273242
200006,1.813237338159245,1.527581196622519
200007,2.169608745401822,1.98686829705998
200008,2.239648016678859,1.919372507211811
200009,2.341986205620394,1.91928543899087
200010,2.432476037519661,2.200477950671682
200011,2.6281810279995,2.47405694008175
200012,2.817265263708209,2.507356560338799
200101,2.728535261947785,2.799331533426388
200102,2.954714458983432,3.050403278407968
200103,2.936748297603462,2.738529431544741
200104,2.734865177967821,1.966203027175533
200105,2.739302012006387,2.108311439802801
200106,2.940574664795343,2.291408573020531
200107,2.989478593365499,2.31913149635521
200108,2.764743720289986,2.124478821616727
200109,2.646479681572009,2.252344256718933
200110,2.494287109228628,1.786497247103495
200111,2.108106972654227,1.434019851499765
200112,1.832363278370586,2.062029164221766
200201,1.796006967476671,1.871209612583983
200202,1.182797171369115,1.242009244692316
200203,0.720232581171453,1.016624276988592
200204,0.7343645709802528,1.001038324064558
200205,0.7933176622904959,0.8876045302091086
200206,0.5909802245401169,0.7263487328566113
200207,0.09144668661200384,0.1161493574435394
200208,-0.1123036802726804,-0.02857650534444562
200209,-0.4089954534008233,-0.5355852409576467
200210,-0.4679841300744534,-0.4065104056036227
200211,-0.4877579534342821,-0.364304364512275
200212,-0.5776686881526203,-0.5170076805279769
200301,-0.643252406382434,-0.5967504986717667
200302,-0.6011984428656565,-0.4271101438557425
200303,-0.6198171282917333,-0.5327815713730583
200304,-0.6656981905582795,-0.6043563579955293
200305,-0.7942110760358749,-0.6696950640219308
200306,-0.826348852157417,-0.688204410659553
200307,-0.8613721899241843,-0.6661592543037305
200308,-0.8430292666280507,-0.599605446575829
200309,-0.8102104476113251,-0.4397843120690906
200310,-0.8713006728050885,-0.5431918539279751
200311,-0.9028745751253096,-0.7099941416646085
200312,-0.9226166179629546,-0.8561565757870021
200401,-0.8940733370364955,-0.7708187223360692
200402,-0.91305207653162,-0.9624848006135697
200403,-0.8803285601145895,-0.8223800078794067
200404,-0.8814727102042359,-0.7327199501832373
200405,-0.8946342166684638,-0.6018489673539529
200406,-0.9088185059690136,-0.6478910962322898
200407,-0.6741868708997616,-0.5242248022073519
200408,-0.6362268699958814,-0.6748984546833994
200409,-0.6527683225131194,-0.7806356799422363
200410,-0.5195649406149082,-0.4419173551192565
200411,-0.5624655326933593,-0.4600145252120356
200412,-0.6220155944456696,-0.5579427426889909
200501,-0.6017883092513483,-0.6535217185299167
200502,-0.5711430854825882,-0.5091488087831556
200503,-0.6524771466297377,-0.8402849391105096
200504,-0.6154850682018882,-0.6493587419477111
200505,-0.6761647404670631,-0.9224281948718398
200506,-0.7100538285061985,-0.9642888540230768
200507,-0.8172098510837162,-0.8652654746023423
200508,-0.8745531134989536,-0.6458542032471044
200509,-0.8499645471925941,-0.3725227362395816
200510,-0.8508449349382823,-0.5507018972686245
200511,-0.8239602557586617,-0.7462612317248691
200512,-0.8084301426247569,-0.6890632395235957
200601,-0.831707659350653,-0.545591484872147
200602,-0.9189760648243065,-0.6541171809362396
200603,-0.8967700217638184,-0.499919115732226
200604,-0.9450267882751009,-0.7041808742023784
200605,-0.9491672044985281,-0.5496651460143414
200606,-0.9709079863765124,-0.616895176026893
200607,-0.9043419529278727,-0.6693661807787636
200608,-0.8845784028421163,-0.7526448467191605
200609,-0.9379171822566076,-1.28762897985555
200610,-0.9528021615879168,-1.313503996422987
200611,-0.9027375744011117,-0.8701227072461337
200612,-0.9533931297847982,-0.8109906042828657
200701,-0.9015114747737457,-1.054132732322416
200702,-0.8399896732260764,-0.9989692734394725
200703,-0.8218847918801688,-0.8119187891265957
200704,-0.7958192793823647,-0.8641511746912873
200705,-0.771196908168288,-0.8034017450508504
200706,-0.7401697532474962,-0.6992074393853133
200707,-0.7780247222733019,-0.7471300625745049
200708,-0.7643790073381196,-0.8559837933647314
200709,-0.7085867260760791,-0.4908531544402484
200710,-0.6764115644204771,-0.3239749471147656
200711,-0.7152790968557204,-0.3684255036109302
200712,-0.5772473644056141,-0.3534423604655191
200801,-0.566780968437554,-0.9883074760514113
200802,-0.5044342048406842,-0.8513738355080517
200803,-0.5082784659934356,-0.9788480083112163
200804,-0.4522222140408499,-0.7340294965535572
200805,-0.3923874339676334,-0.7447175604412406
200806,-0.2795358115199097,-0.4871815656165735
200807,-0.1786347607669961,-0.2478638717042702
200808,-0.1126648346375473,0.04727290000404451
200809,0.06966399238863641,0.3186909950277133
200810,0.2749176858011892,0.3124991279609702
200811,0.2790720867497758,-0.09917415434967225
200812,0.1430389701255583,-0.2213238775625356
200901,0.06593327250602818,0.08922454673090649
200902,-0.06451239551526229,0.04982615876656333
200903,-0.1238278380682651,-0.06227808996518899
200904,-0.09956170136834261,-0.0614461684420317
200905,0.16521607076498,0.2500851934996935
200906,0.1722385707279296,0.1434042672244399
200907,0.1054961312027497,0.7419251554104057
200908,0.07570176587251795,0.468018711094614
200909,-0.1066297697511171,0.1764205293591951
200910,-0.3500743141037222,0.2439298304105352
200911,-0.3978220858235613,0.7184433114955546
200912,-0.2466592501002101,0.9681985768643112
201001,-0.4607998392310298,0.4003034949306131
201002,-0.2667310017861816,0.3432392269347057
201003,-0.2510447261039229,0.3642868198884837
201004,-0.2153667653027063,0.3144992519816556
201005,-0.1507781890858783,0.08088976462497036
201006,0.1360365190767145,0.2112427266584045
201007,0.1057033925418672,0.04191335767360113
201008,0.1908862450081617,0.1809003101287079
201009,0.0826466774582099,0.1641498398145684
201010,-0.1192775983097196,-0.1403329500306456
201011,-0.09509980230132015,-0.3109781811141452
201012,-0.4346468119966614,-0.6990094337851879
201101,-0.5654465729033422,-0.5358834758587656
201102,-0.6222886358195838,-0.4124374966218017
201103,-0.5116832822202161,-0.310929972234127
201104,-0.6439683020062393,-0.2924748525456179
201105,-0.6986288777460702,-0.03759750560567861
201106,-0.7620495562742532,0.04308391842336668
201107,-0.7153404388739931,0.06314761995244986
201108,-0.6945921221791802,0.1086847968079135
201109,-0.7036138259953418,-0.05827350994161015
201110,-0.6490192574988471,-0.1821679403899057
201111,-0.698410712700606,-0.2752385164128816
201112,-0.7022633768571664,-0.3337868491876131
201201,-0.652939029443825,-0.4679771282012509
201202,-0.6667404484571803,-0.5906967859843008
201203,-0.745207534210332,-0.5977848019641775
201204,-0.6848012021613487,-0.7858327731579665
201205,-0.629155945810448,-0.7943690277303913
201206,-0.692909658505585,-0.9766781613176221
201207,-0.6432313055147737,-0.8636517288830192
201208,-0.599309857722075,-0.6048007427018129
201209,-0.5866164352920666,-0.6283390786238009
201210,-0.5497407561143055,-0.4615133965367541
201211,-0.5732057498130139,-0.6078305042702074
201212,-0.58186465362047,-0.5772353732660823
201301,-0.5912148651745216,-0.46371655857348
201302,-0.5032735489079135,-0.3809183001800698
201303,-0.4190897549171066,-0.4406584206871226
201304,-0.4129875934582782,-0.3142790694173597
201305,-0.3934793824984509,-0.256826786402847
